experiment_group,task_type,model_name,feature_type,target_type,eval_split,accuracy,macro_f1,weighted_f1,mae,rmse,r2,comments
pretrained,pretrained_embedding,ast_audioset_logistic_regression,pretrained_audio_embedding,emotion_quadrant,val,0.5703703703703704,0.4846941696481397,0.5766362534337428,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_logistic_regression,pretrained_audio_embedding,emotion_quadrant,test,0.6273062730627307,0.5417327012985691,0.6254116476468894,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_random_forest,pretrained_audio_embedding,emotion_quadrant,val,0.6444444444444445,0.3717911211877422,0.5452985201979571,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_random_forest,pretrained_audio_embedding,emotion_quadrant,test,0.6568265682656826,0.3799288061336254,0.5548877832699466,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,val,0.6444444444444445,0.4756715742328949,0.6045247125341465,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,test,0.6752767527675276,0.4924508143847766,0.6231496259084507,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_xgboost,pretrained_audio_embedding,emotion_quadrant,val,0.6555555555555556,0.4649535927731416,0.5991331605366693,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,ast_audioset_xgboost,pretrained_audio_embedding,emotion_quadrant,test,0.7084870848708487,0.5381091794960503,0.6564344962598562,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_logistic_regression,pretrained_audio_embedding,emotion_quadrant,val,0.5296296296296297,0.4303723807597515,0.5312999676810547,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_logistic_regression,pretrained_audio_embedding,emotion_quadrant,test,0.5719557195571956,0.4466615451939908,0.5731768771031815,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_random_forest,pretrained_audio_embedding,emotion_quadrant,val,0.6407407407407407,0.3702206084612422,0.5426002335063235,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_random_forest,pretrained_audio_embedding,emotion_quadrant,test,0.6051660516605166,0.3517235023041474,0.5136155899807846,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,val,0.6,0.4054919827957746,0.547952663947844,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,test,0.6162361623616236,0.3926596573208722,0.5455029830672138,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_xgboost,pretrained_audio_embedding,emotion_quadrant,val,0.6037037037037037,0.3822362278244631,0.5332295881315489,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,mert_v1_95m_xgboost,pretrained_audio_embedding,emotion_quadrant,test,0.6088560885608856,0.3680555555555556,0.5257336144790019,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_logistic_regression,pretrained_audio_embedding,emotion_quadrant,val,0.5814814814814815,0.4846906246906247,0.584996820996821,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_logistic_regression,pretrained_audio_embedding,emotion_quadrant,test,0.5867158671586716,0.4707640006365935,0.5781147161615734,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_random_forest,pretrained_audio_embedding,emotion_quadrant,val,0.6518518518518519,0.4010187376183138,0.5672332689281843,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_random_forest,pretrained_audio_embedding,emotion_quadrant,test,0.6642066420664207,0.4175333146957413,0.5776870885846124,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,val,0.6185185185185185,0.4417953511095087,0.5757236935851212,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_gradient_boosting,pretrained_audio_embedding,emotion_quadrant,test,0.6346863468634686,0.4440274029089818,0.5889291146622667,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_xgboost,pretrained_audio_embedding,emotion_quadrant,val,0.6407407407407407,0.4682409833867841,0.5940415976379275,,,,Classifier on frozen pretrained embeddings.
pretrained,pretrained_embedding,clap_htsat_unfused_xgboost,pretrained_audio_embedding,emotion_quadrant,test,0.6678966789667896,0.4793411792934618,0.6157313994229089,,,,Classifier on frozen pretrained embeddings.
